Component	Percentile Rank	# Compatible Public Results	Figure Of Merit (Average)
AMD EPYC 7702 64-Core	55th	9	871440575 +/- 10980543
AMD EPYC 7552 48-Core	55th	5	857923043 +/- 2302352
AMD EPYC 7601 32-Core	55th	3	841734822 +/- 11904838
AMD EPYC 7302P 16-Core	54th	5	789214057 +/- 2117962
2 x Intel Xeon E5-2699 v4	54th	7	788813800 +/- 3032651
AMD EPYC 7F52 16-Core	54th	7	785101715 +/- 96985693
AMD EPYC 7542 32-Core	53rd	4	776464681 +/- 4270427
AMD EPYC 7502P 32-Core	53rd	5	774614677 +/- 692906
AmpereOne 32-Core	53rd	3	774298500
Intel Xeon Gold 6258R	52nd	3	773379211 +/- 4459587
Ampere ARMv8 Neoverse-N1 128-Core	52nd	3	773162989 +/- 1523877
AMD EPYC 7402P 24-Core	52nd	7	739766613 +/- 70412636
Intel Xeon Platinum 8280	52nd	12	726813203 +/- 82320421
2 x Intel Xeon E5-2696 v4	51st	6	699166533 +/- 14827096
Intel Xeon Gold 5220R	51st	3	696206914 +/- 2006432
Intel Xeon Gold 6226R	51st	3	692338967 +/- 2328970
Median	50th		673892550
Intel Xeon Silver 4216	50th	3	595098978 +/- 5763872
Intel Core Ultra 9 285K	49th	11	584077136 +/- 53810010
Ampere eMAG ARMv8 32-Core	49th	13	577632687 +/- 13284321
AMD Ryzen Threadripper 3970X 32-Core	48th	4	554862500 +/- 193303
2 x Intel Xeon Gold 5218	46th	34	485437095 +/- 24632255
Intel Core i9-7980XE	46th	5	478208285 +/- 64692960
AMD Ryzen Threadripper 3990X 64-Core	46th	10	468445860 +/- 31696926
AMD Ryzen 9 9900X3D 12-Core	46th	4	460008875 +/- 806859
AMD EPYC 7272 12-Core	46th	5	458771061 +/- 2047592
AMD EPYC 7282 16-Core	45th	5	456856282 +/- 2449945
Intel Core i9-7960X	44th	4	454205625 +/- 2143539
AMD Ryzen 9 9950X3D 16-Core	44th	9	450387259 +/- 22659171
AMD EPYC 7232P 8-Core	44th	5	450276393 +/- 804835
Intel Core i3-14100	44th	3	447645786
Intel Core i9-13900K	43rd	16	444150617 +/- 17152032
Intel Core i7-7900X	43rd	3	433644181 +/- 3444474
AMD Ryzen 7 9800X3D 8-Core	41st	8	421386696 +/- 13156199
Intel Core i9-10980XE	41st	4	413356700 +/- 1874057
AMD Ryzen Threadripper 3960X 24-Core	40th	4	406450667 +/- 1312887
AMD Ryzen 9 7950X 16-Core	40th	20	405331805 +/- 28901646
AMD Ryzen 5 8600G	40th	4	404794220
AMD Ryzen 5 8500G	40th	3	401112300 +/- 11481592
AMD Ryzen 7 7800X3D 8-Core	39th	12	394799253 +/- 22063221
AMD Ryzen 9 7900X3D 12-Core	39th	10	393335117 +/- 26797084
AMD Ryzen 9 7900X 12-Core	39th	22	393301404 +/- 27155922
AMD Ryzen 9 7950X3D 16-Core	39th	14	392986900 +/- 39994978
AMD Ryzen 9 7900 12-Core	39th	15	391662358 +/- 31643941
AMD Ryzen 5 7600 6-Core	39th	10	387983100 +/- 14704220
AMD Ryzen Threadripper 2950X 16-Core	37th	4	376904534 +/- 1198020
AMD Ryzen 7 7700X 8-Core	36th	19	374766262 +/- 15149367
Intel Core i5-13600K	36th	7	373618643 +/- 6351894
AMD Ryzen 7 7700 8-Core	36th	15	373335356 +/- 14752112
AMD Ryzen Threadripper 2990WX 32-Core	35th	8	366725106 +/- 54258227
AMD Ryzen 5 7600X 6-Core	35th	14	366316733 +/- 16874437
Intel Core i5-14500	33rd	3	350297633
Intel Core i5-13400	33rd	4	345373517 +/- 1616034
Intel Core i5-12600K	33rd	4	342263538 +/- 28246425
Intel Xeon E5-1680 v3	32nd	3	333448456 +/- 176310
AMD Ryzen 9 6900HX	32nd	3	308020200 +/- 631319
Intel Core i9-12900H	31st	4	306695325 +/- 1548785
Apple M2	31st	4	305806100 +/- 25865
Intel Xeon E5-2687W v3	31st	3	303879044 +/- 1144788
Intel Core i7-12700K	31st	4	302273333 +/- 3220019
Apple M1	30th	3	294171700 +/- 428397
Intel Core i7-1165G7	30th	10	285776585 +/- 26053001
Intel Core i9-11980HK	29th	3	282955475 +/- 7057385
Intel Core i9-9900KS	29th	3	275865733 +/- 148574
Intel Core i7-6800K	28th	4	273494250 +/- 1950922
Intel Core i7-11700K	28th	14	270465419 +/- 21106004
Intel Xeon E5-2609 v4	27th	3	265420089 +/- 666649
AMD Ryzen 7 1700 Eight-Core	27th	10	260376920 +/- 14780585
Intel Core i7-11700B	26th	4	259336075 +/- 20258688
AMD Ryzen 7 1800X Eight-Core	26th	4	258903583 +/- 419646
Low-Tier	25th		< 256019367
Intel Core i7-1065G7	25th	4	254573129 +/- 7003656
Intel Core i5-10600K	25th	6	250416592 +/- 20415434
Intel Core i7-8086K	25th	4	249503500 +/- 791478
