Component	Percentile Rank	# Compatible Public Results	Milliseconds (Average)
Intel Core i7-1065G7	70th	37	929 +/- 110
AMD Ryzen 7 3800X 8-Core	70th	10	930 +/- 103
AMD Ryzen 3 3300X 4-Core	70th	7	932 +/- 27
Intel N150	70th	5	936 +/- 73
2 x AMD EPYC 7713 64-Core	69th	14	940 +/- 25
Intel Core i3-10100	69th	14	940 +/- 37
2 x AMD EPYC 7513 32-Core	69th	5	940 +/- 19
Intel Xeon E-2288G	69th	9	940 +/- 122
AMD EPYC 7713 64-Core	68th	13	958 +/- 38
Intel Core i7-7700K	67th	24	959 +/- 132
2 x Intel Xeon Gold 6346	67th	6	961 +/- 11
Intel Xeon Gold 6346	67th	5	962 +/- 11
2 x Intel Xeon Platinum 8362	66th	8	972 +/- 13
AMD Ryzen 9 3900X 12-Core	66th	92	973 +/- 124
AMD Ryzen 7 4700U	66th	16	975 +/- 100
AMD Ryzen 5 3600X 6-Core	66th	21	976 +/- 61
AMD Ryzen 9 3950X 16-Core	66th	35	977 +/- 132
AMD Ryzen 5 3500X 6-Core	65th	10	985 +/- 11
Intel Xeon Gold 6342	64th	6	990 +/- 14
2 x Intel Xeon Gold 6342	64th	6	990 +/- 13
Intel Pentium Gold G6400	64th	7	991 +/- 34
Intel Xeon E3-1275 v6	64th	6	991 +/- 28
AMD EPYC 7763 64-Core	64th	21	998 +/- 22
AMD Ryzen Threadripper 3990X 64-Core	63rd	45	1000 +/- 128
AMD Ryzen Threadripper PRO 3975WX 32-Cores	63rd	5	1005 +/- 99
AMD EPYC 7773X 64-Core	63rd	6	1008 +/- 9
2 x AMD EPYC 7F52 16-Core	63rd	9	1009 +/- 11
AMD Ryzen 5 3600 6-Core	63rd	27	1010 +/- 86
2 x AMD EPYC 7763 64-Core	62nd	29	1013 +/- 58
2 x AMD EPYC 7313 16-Core	62nd	7	1014 +/- 119
AMD EPYC 7F32 8-Core	62nd	14	1014 +/- 13
Intel Core i5-7600K	62nd	9	1014 +/- 83
Intel Xeon W-2295	62nd	10	1014 +/- 67
Intel Core i9-7960X	62nd	64	1017 +/- 115
Intel Xeon Platinum 8380	61st	9	1019 +/- 22
Intel Core i7-8700K	61st	57	1021 +/- 141
Intel Xeon E3-1260L v5	61st	18	1023 +/- 4
Intel Core i7-4790K	60th	7	1028 +/- 148
AMD Ryzen 3 3100 4-Core	60th	10	1036 +/- 35
Intel Core i5-9400F	60th	6	1037 +/- 59
Intel Xeon E3-1245 v5	60th	24	1039 +/- 28
AMD Ryzen Threadripper 1900X 8-Core	59th	8	1053 +/- 123
2 x AMD EPYC 7F72 24-Core	59th	7	1055 +/- 12
AMD Ryzen Threadripper 3960X 24-Core	59th	8	1056 +/- 153
AMD Ryzen 7 PRO 3700U	59th	6	1060 +/- 7
2 x Intel Xeon Platinum 8380	58th	77	1065 +/- 82
AMD EPYC 7F72 24-Core	58th	13	1070 +/- 13
Intel Core i7-8700	58th	5	1070 +/- 159
Intel Xeon Gold 6258R	56th	4	1094 +/- 12
Intel Core i5-1035G1	56th	5	1097 +/- 116
Intel Core i5-8300H	56th	4	1097 +/- 97
2 x Intel Xeon Platinum 8280	55th	62	1100 +/- 103
Intel Xeon Gold 5218	55th	10	1100 +/- 58
2 x Intel Xeon Gold 5220R	55th	11	1111 +/- 24
AMD Ryzen 5 2600X Six-Core	55th	5	1114 +/- 120
Intel Core i7-9750H	54th	14	1120 +/- 117
Intel Xeon Gold 5220R	54th	5	1123 +/- 9
Intel Xeon Gold 6226R	53rd	6	1134 +/- 24
2 x Intel Xeon Gold 6254	53rd	28	1139 +/- 2
AMD Custom APU 0405	52nd	13	1146 +/- 74
Intel Celeron G5900	52nd	6	1154 +/- 23
AMD EPYC 7262 8-Core	51st	5	1163 +/- 26
Intel Core i5-6500	51st	30	1164 +/- 99
Intel Core i3-7100	51st	9	1166 +/- 146
Median	50th		1170
Intel Xeon Gold 5217	50th	5	1179 +/- 13
