Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
Intel Core i7-1165G7 x 1,0.002747766066658577,0.028829101951317822,0.5773502691896258,0.04386054511319477,,,0.010128952091046067,0.029502039398962617,,,0.005200158087208813,,0.0013513513513513514,0.011382552041087866,0.0070563464823958175
Intel Core i7-11700B x 1,,0.0390587541667699,,,,,,,,,,0.0034674063800277394,,,
Intel Core i7-11700K x 1,,0.020855963256613583,,,,,,0.02759800521938938,,,,0.0085401056603591,,,
Intel Core i7-1185G7 x 1,,,0.5,0.0007828478226300012,,,0.5773502691896257,0.036434057959017524,,,0.003060441076997791,,0.014622787863758842,0.004354881166572855,0.012515849762417795
Intel Core i7-1185G7E x 1,,,,,,,,,,,,,,,0.00047233333811579764
Intel Core i7-12700K x 1,,0.005326336544547249,,,0.01908923819758772,,0.04276668660663895,0.04010640556468201,,,,,,,
Intel Core i7-12700KF x 1,,,,,,,,,,,,,,,0.04062302641247056
Intel Core i7-1280P x 1,0.029483674811535972,,,0.05172321829982107,,,0.015604061329449347,,,0.0007754872655334128,,,0.02585928953571185,,0.022619671740719778
Intel Core i7-2600 x 1,,,,,,,,,,,,0.042123333586290446,,,
Intel Core i7-2700K x 1,,,,,,0.011736313170325504,,0.02849740932642487,,,,0.022037528345305032,,,
Intel Core i7-3517U x 1,,,,,,,,0.007079450123650804,,,,,,,
Intel Core i7-3630QM x 1,,,,,,,,,,,,0.0009306654257794323,,,
Intel Core i7-3632QM x 1,,,,,,0.05062795420754241,,,,,,,,,
Intel Core i7-3770 x 1,,,,,,,,,,,,0.058993637941006365,,,
Intel Core i7-3770K x 1,,0.0004558032029684963,,,,,,0.007575757575757576,,,,0.033126293995859216,,,
Intel Core i7-4558U x 1,,,,,,,,,,,,0.047329467028358586,,,
Intel Core i7-4600U x 1,0.04139028409222546,,,,,,,,,,,0.04442315918076108,,,
