Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market
AMD EPYC 7502P x 1,1,AMD,7,3800.0,2.5,180,204.8,32.0,2019,12,,Server/Workstation
AMD EPYC 7513 x 1,1,AMD,7,33200.0,2.6,200,204.8,32.0,2021,14,2840.0,Server/Workstation
AMD EPYC 7513 x 2,2,AMD,7,33200.0,2.6,200,204.8,32.0,2021,14,2840.0,Server/Workstation
AMD EPYC 7532 x 1,1,AMD,7,15200.0,2.3,155,204.8,24.0,2019,12,1350.0,Server/Workstation
AMD EPYC 7542 x 1,1,AMD,7,3800.0,2.9,225,204.8,32.0,2019,12,,Server/Workstation
AMD EPYC 7543 x 1,1,AMD,7,33200.0,2.8,225,204.8,32.0,2021,14,3761.0,Server/Workstation
AMD EPYC 7543 x 2,2,AMD,7,33200.0,2.8,225,204.8,32.0,2021,14,3761.0,Server/Workstation
AMD EPYC 7551 x 1,1,AMD,14,4800.0,,180,170.6,32.0,2017,10,,Server/Workstation
AMD EPYC 7551 x 2,2,AMD,14,4800.0,,180,170.6,32.0,2017,10,,Server/Workstation
AMD EPYC 7552 x 1,1,AMD,7,3800.0,2.2,200,204.8,48.0,2019,12,4025.0,Server/Workstation
AMD EPYC 7573X x 1,1,AMD,7,33200.0,2.8,280,204.8,32.0,2022,15,5590.0,Server/Workstation
AMD EPYC 7573X x 2,2,AMD,7,33200.0,2.8,280,204.8,32.0,2022,15,5590.0,Server/Workstation
AMD EPYC 75F3 x 1,1,AMD,7,33200.0,2.95,280,204.8,32.0,2021,14,4860.0,Server/Workstation
AMD EPYC 75F3 x 2,2,AMD,7,33200.0,2.95,280,204.8,32.0,2021,14,4860.0,Server/Workstation
AMD EPYC 7601 x 1,1,AMD,14,4800.0,2.2,180,170.6,32.0,2017,10,,Server/Workstation
AMD EPYC 7601 x 2,2,AMD,14,4800.0,2.2,180,170.6,32.0,2017,10,,Server/Workstation
AMD EPYC 7601 x 8,8,AMD,14,4800.0,2.2,180,170.6,32.0,2017,10,,Server/Workstation
AMD EPYC 7642 x 1,1,AMD,7,3800.0,2.4,225,204.8,48.0,2019,12,,Server/Workstation
AMD EPYC 7642 x 2,2,AMD,7,3800.0,2.4,225,204.8,48.0,2019,12,,Server/Workstation
AMD EPYC 7643 x 1,1,AMD,7,33200.0,2.3,225,204.8,48.0,2021,14,4995.0,Server/Workstation
AMD EPYC 7643 x 2,2,AMD,7,33200.0,2.3,225,204.8,48.0,2021,14,4995.0,Server/Workstation
AMD EPYC 7662 x 1,1,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation
AMD EPYC 7663 x 1,1,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation
AMD EPYC 7663 x 2,2,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation
AMD EPYC 7663P x 1,1,AMD,7,33200.0,,240,204.8,56.0,2023,16,3139.0,Server/Workstation
AMD EPYC 7702 x 1,1,AMD,7,3800.0,,200,204.8,64.0,2019,12,,Server/Workstation
AMD EPYC 7713 x 1,1,AMD,7,33200.0,,225,204.8,64.0,2021,14,7060.0,Server/Workstation
AMD EPYC 7713 x 2,2,AMD,7,33200.0,,225,204.8,64.0,2021,14,7060.0,Server/Workstation
AMD EPYC 7713P x 1,1,AMD,7,33200.0,,225,204.8,64.0,2021,14,5010.0,Server/Workstation
AMD EPYC 7742 x 1,1,AMD,7,3800.0,2.25,225,204.8,64.0,2019,12,,Server/Workstation
AMD EPYC 7742 x 2,2,AMD,7,3800.0,2.25,225,204.8,64.0,2019,12,,Server/Workstation
AMD EPYC 7763 x 1,1,AMD,7,33200.0,2.45,280,204.8,64.0,2021,14,7890.0,Server/Workstation
AMD EPYC 7763 x 2,2,AMD,7,33200.0,2.45,280,204.8,64.0,2021,14,7890.0,Server/Workstation
AMD EPYC 7773X x 1,1,AMD,7,33200.0,2.2,280,204.8,64.0,2022,15,8800.0,Server/Workstation
AMD EPYC 7773X x 2,2,AMD,7,33200.0,2.2,280,204.8,64.0,2022,15,8800.0,Server/Workstation
AMD EPYC 7F32 x 1,1,AMD,7,15200.0,3.7,180,204.8,8.0,2020,13,2100.0,Server/Workstation
AMD EPYC 7F32 x 2,2,AMD,7,15200.0,3.7,180,204.8,8.0,2020,13,2100.0,Server/Workstation
AMD EPYC 7F52 x 1,1,AMD,7,3800.0,3.5,240,204.8,16.0,2020,13,,Server/Workstation
AMD EPYC 7F52 x 2,2,AMD,7,3800.0,3.5,240,204.8,16.0,2020,13,,Server/Workstation
AMD EPYC 7F72 x 1,1,AMD,7,3800.0,3.2,240,204.8,24.0,2020,13,,Server/Workstation
AMD EPYC 7F72 x 2,2,AMD,7,3800.0,3.2,240,204.8,24.0,2020,13,,Server/Workstation
AMD EPYC 7K62 x 2,2,AMD,7,15200.0,3.2,155,204.8,8.0,2019,12,575.0,Server/Workstation
AMD EPYC 7K83 x 1,1,AMD,14,4800.0,2.2,170,170.6,16.0,2017,10,,Server/Workstation
AMD EPYC 8534P x 1,1,AMD,5,35500.0,2.3,200,230.4,64.0,2023,16,4950.0,Server/Workstation
AMD EPYC 8534PN x 1,1,AMD,5,35500.0,,175,230.4,64.0,2023,16,5450.0,Server/Workstation
AMD EPYC 9184X x 2,2,AMD,5,90160.0,3.55,320,460.8,16.0,2023,16,4928.0,Server/Workstation
AMD EPYC 9374F x 1,1,AMD,5,52560.0,3.85,320,460.8,32.0,2022,15,4850.0,Server/Workstation
AMD EPYC 9374F x 2,2,AMD,5,52560.0,3.85,320,460.8,32.0,2022,15,4850.0,Server/Workstation
AMD EPYC 9384X x 1,1,AMD,5,90160.0,3.1,320,460.8,32.0,2023,16,5529.0,Server/Workstation
AMD EPYC 9384X x 2,2,AMD,5,90160.0,3.1,320,460.8,32.0,2023,16,5529.0,Server/Workstation
AMD EPYC 9534 x 2,2,AMD,5,52560.0,2.45,280,460.8,64.0,2022,15,8803.0,Server/Workstation
AMD EPYC 9554 x 1,1,AMD,5,52560.0,3.1,360,460.8,64.0,2022,15,9087.0,Server/Workstation
AMD EPYC 9554 x 2,2,AMD,5,52560.0,3.1,360,460.8,64.0,2022,15,9087.0,Server/Workstation
AMD EPYC 9575F x 1,1,AMD,4,66520.0,3.3,400,576.0,64.0,2024,17,11791.0,Server/Workstation
AMD EPYC 9575F x 2,2,AMD,4,66520.0,3.3,400,576.0,64.0,2024,17,11791.0,Server/Workstation
AMD EPYC 9634 x 1,1,AMD,5,78840.0,2.25,290,460.8,84.0,2022,15,10304.0,Server/Workstation
AMD EPYC 9634 x 2,2,AMD,5,78840.0,2.25,290,460.8,84.0,2022,15,10304.0,Server/Workstation
AMD EPYC 9654 x 1,1,AMD,5,78840.0,2.4,360,460.8,96.0,2022,15,11805.0,Server/Workstation
AMD EPYC 9654 x 2,2,AMD,5,78840.0,2.4,360,460.8,96.0,2022,15,11805.0,Server/Workstation
AMD EPYC 9655 x 1,1,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,11852.0,Server/Workstation
AMD EPYC 9655 x 2,2,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,11852.0,Server/Workstation
AMD EPYC 9655P x 1,1,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,10811.0,Server/Workstation
AMD EPYC 9684X x 1,1,AMD,5,135240.0,2.55,400,460.8,96.0,2023,16,14756.0,Server/Workstation
AMD EPYC 9684X x 2,2,AMD,5,135240.0,2.55,400,460.8,96.0,2023,16,14756.0,Server/Workstation
AMD EPYC 9754 x 1,1,AMD,5,71000.0,2.25,360,460.8,128.0,2023,16,11900.0,Server/Workstation
AMD EPYC 9754 x 2,2,AMD,5,71000.0,2.25,360,460.8,128.0,2023,16,11900.0,Server/Workstation
AMD EPYC 9755 x 1,1,AMD,4,133040.0,2.7,500,576.0,128.0,2024,17,12984.0,Server/Workstation
AMD EPYC 9755 x 2,2,AMD,4,133040.0,2.7,500,576.0,128.0,2024,17,12984.0,Server/Workstation
AMD EPYC 9845 x 1,1,AMD,3,,2.1,390,576.0,160.0,2024,17,13564.0,Server/Workstation
AMD EPYC 9965 x 1,1,AMD,3,,2.25,500,576.0,192.0,2024,17,14813.0,Server/Workstation
AMD EPYC 9965 x 2,2,AMD,3,,2.25,500,576.0,192.0,2024,17,14813.0,Server/Workstation
AMD FX-6300 Six-Core x 1,1,AMD,32,1200.0,3.5,95,29.9,6.0,2012,5,132.0,Desktop
AMD FX-8150 Eight-Core x 1,1,AMD,32,1200.0,3.6,125,,8.0,2011,4,,Desktop
AMD FX-8350 Eight-Core x 1,1,AMD,32,1200.0,4.0,125,29.9,8.0,2012,5,199.0,Desktop
AMD FX-8370 Eight-Core x 1,1,AMD,32,1200.0,4.0,125,29.9,8.0,2014,7,199.0,Desktop
AMD Phenom 9650 x 1,1,AMD,65,450.0,2.3,95,,4.0,2008,1,,Desktop
AMD Phenom II X3 720 x 1,1,AMD,45,758.0,2.8,95,21.3,3.0,2010,3,,Desktop
AMD RYZEN AI MAX PRO 390 x 1,1,AMD,4,,3.2,55,256.0,12.0,2025,18,,Mobile
AMD RYZEN AI MAX+ 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile
AMD RYZEN AI MAX+ PRO 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile
AMD Ryzen 3 1300X x 1,1,AMD,14,4800.0,3.4,65,42.7,4.0,2017,10,129.0,Desktop
AMD Ryzen 3 2200G x 1,1,AMD,14,4950.0,3.5,65,46.9,4.0,2018,11,99.0,Desktop
AMD Ryzen 3 3100 x 1,1,AMD,7,3800.0,3.6,65,51.2,4.0,2020,13,99.0,Desktop
AMD Ryzen 3 3200G x 1,1,AMD,12,4940.0,3.6,65,,4.0,2019,12,,Desktop
AMD Ryzen 3 3200U x 1,1,AMD,14,4940.0,2.6,15,38.4,2.0,2019,12,,Mobile
AMD Ryzen 3 3300X x 1,1,AMD,7,3800.0,3.8,65,51.2,4.0,2020,13,120.0,Desktop
AMD Ryzen 5 1500X x 1,1,AMD,14,4800.0,3.5,65,42.7,4.0,2017,10,189.0,Desktop
AMD Ryzen 5 1600 Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile
