,index,Component,Samples,Test,Units,Score,SD
1838,2013,AMD EPYC 4344P 8-Core,3.0,stockfish,Nodes Per Second (Average),21844343,21844343
1839,2014,AMD Ryzen 7 7700 8-Core,5.0,stockfish,Nodes Per Second (Average),21823261,858049
1840,2016,AMD Ryzen 7 8845HS,5.0,stockfish,Nodes Per Second (Average),19325806,1763604
1841,2018,AMD Ryzen 5 9600X 6-Core,10.0,stockfish,Nodes Per Second (Average),18615958,911675
1842,2019,AMD Ryzen 7 8700G,5.0,stockfish,Nodes Per Second (Average),18351903,18351903
1843,2020,AMD EPYC 7551 32-Core,3.0,stockfish,Nodes Per Second (Average),17561774,1550313
1844,2021,AMD Ryzen 7 5800X 8-Core,6.0,stockfish,Nodes Per Second (Average),17555106,125814
1845,2022,Intel Xeon E E-2488,8.0,stockfish,Nodes Per Second (Average),17086129,330318
1846,2023,AMD EPYC 4244P 6-Core,3.0,stockfish,Nodes Per Second (Average),16614517,16614517
1847,2024,AMD Ryzen 7 5800X3D 8-Core,5.0,stockfish,Nodes Per Second (Average),16502192,16502192
1848,2025,AMD Ryzen 5 7600 6-Core,10.0,stockfish,Nodes Per Second (Average),16377929,497126
1849,2026,AMD EPYC 7F32 8-Core,3.0,stockfish,Nodes Per Second (Average),15350934,401834
1850,2027,AMD Ryzen 7 7840HS,16.0,stockfish,Nodes Per Second (Average),15300575,2106698
1851,2028,AMD Ryzen 5 8600G,5.0,stockfish,Nodes Per Second (Average),15151817,597556
1852,2029,AMD Ryzen 5 8400F 6-Core,7.0,stockfish,Nodes Per Second (Average),15015134,22540
1853,2030,AMD Ryzen 7 3800XT 8-Core,4.0,stockfish,Nodes Per Second (Average),14914327,790869
1854,2032,AMD Ryzen 7 5700G,8.0,stockfish,Nodes Per Second (Average),13833022,673905
1855,2033,2 x Intel Xeon E5-2687W 0,6.0,stockfish,Nodes Per Second (Average),13684159,172669
1856,2034,Intel Xeon Silver 4216,4.0,stockfish,Nodes Per Second (Average),13489044,567847
1857,2035,AMD Ryzen AI 9 HX 370,13.0,stockfish,Nodes Per Second (Average),13477021,703057
1858,2036,Intel Core i5-13400,3.0,stockfish,Nodes Per Second (Average),13298589,13298589
1859,2037,AMD Ryzen AI 9 365,8.0,stockfish,Nodes Per Second (Average),12942566,1541765
1860,2038,AMD Ryzen 5 5600X 6-Core,6.0,stockfish,Nodes Per Second (Average),11942108,930647
1861,2039,AMD Ryzen 9 5900HX,6.0,stockfish,Nodes Per Second (Average),11802686,917310
1862,2040,AMD EPYC 4124P 4-Core,3.0,stockfish,Nodes Per Second (Average),10622485,10622485
1863,2041,2 x Intel Xeon E5-2650 0,4.0,stockfish,Nodes Per Second (Average),10195110,328849
1864,2042,AMD Ryzen 5 5500,5.0,stockfish,Nodes Per Second (Average),9405304,9405304
1865,2043,AMD Ryzen 7 PRO 6850U,5.0,stockfish,Nodes Per Second (Average),8728940,1056739
1866,2044,Intel Core i7-5960X,4.0,stockfish,Nodes Per Second (Average),8354213,218544
1867,2045,Intel Core i3-14100,5.0,stockfish,Nodes Per Second (Average),8054472,8054472
1868,2046,AMD Ryzen 7 PRO 5850U,5.0,stockfish,Nodes Per Second (Average),7479147,197590
1869,2047,Intel Core Ultra 7 165U,4.0,stockfish,Nodes Per Second (Average),7284809,7284809
1870,2048,AMD Ryzen 5 5500U,6.0,stockfish,Nodes Per Second (Average),6006333,86146
1871,2049,AMD Ryzen 7 4700U,6.0,stockfish,Nodes Per Second (Average),5696487,118023
1872,2050,Intel Core i7-1185G7,6.0,stockfish,Nodes Per Second (Average),5229658,55786
1873,2051,Intel Core i7-1165G7,4.0,stockfish,Nodes Per Second (Average),5005468,113950
1874,2052,Intel Xeon E3-1280 v5,5.0,stockfish,Nodes Per Second (Average),4734500,138359
1875,2053,Intel Core i7-8565U,4.0,stockfish,Nodes Per Second (Average),3321246,158712
1876,2054,Intel Core i7-1065G7,4.0,stockfish,Nodes Per Second (Average),2853788,105359
1877,2056,AMD Ryzen 7 9800X3D 8-Core,3.0,tensorflow,Microseconds (Average),737,2
1878,2057,AMD Ryzen 9 9900X3D 12-Core,4.0,tensorflow,Microseconds (Average),969,11
1879,2058,AMD Ryzen 9 9950X3D 16-Core,5.0,tensorflow,Microseconds (Average),992,40
1880,2059,AMD Ryzen 7 7700X 8-Core,10.0,tensorflow,Microseconds (Average),1017,8
1881,2060,AMD Ryzen 9 7950X 16-Core,10.0,tensorflow,Microseconds (Average),1076,49
1882,2061,AMD Ryzen 9 7900X 12-Core,9.0,tensorflow,Microseconds (Average),1113,12
1883,2062,AMD Ryzen 9 7950X3D 16-Core,6.0,tensorflow,Microseconds (Average),1139,76
1884,2063,Intel Xeon Gold 6342,4.0,tensorflow,Microseconds (Average),1297,2
1885,2064,AMD Ryzen 5 7600X 6-Core,7.0,tensorflow,Microseconds (Average),1334,6
1886,2065,Intel Core i5-13600K,9.0,tensorflow,Microseconds (Average),1406,30
1887,2066,Intel Xeon Platinum 8380,4.0,tensorflow,Microseconds (Average),1411,2
1888,2067,Intel Core i9-11900K,7.0,tensorflow,Microseconds (Average),1434,13
1889,2068,Intel Xeon Gold 6226R,3.0,tensorflow,Microseconds (Average),1518,6
1890,2069,Intel Xeon Gold 6346,3.0,tensorflow,Microseconds (Average),1527,5
1891,2070,AMD Ryzen 9 5950X 16-Core,13.0,tensorflow,Microseconds (Average),1605,2
1892,2071,Intel Core i7-12700KF,3.0,tensorflow,Microseconds (Average),1606,113
1893,2072,AMD Ryzen 5 8600G,4.0,tensorflow,Microseconds (Average),1619,1619
1894,2073,Intel Core i5-12600K,10.0,tensorflow,Microseconds (Average),1706,70
1895,2074,AMD Ryzen 9 5900X 12-Core,7.0,tensorflow,Microseconds (Average),1718,14
1896,2075,Intel Core i5-13400,4.0,tensorflow,Microseconds (Average),1796,6
1897,2076,AMD Ryzen 7 5800X3D 8-Core,13.0,tensorflow,Microseconds (Average),1806,24
1898,2077,AMD Ryzen 7 5800X 8-Core,8.0,tensorflow,Microseconds (Average),1814,134
1899,2078,2 x Intel Xeon Gold 6346,4.0,tensorflow,Microseconds (Average),1818,10
1900,2079,AMD Ryzen Threadripper 3960X 24-Core,4.0,tensorflow,Microseconds (Average),1888,7
1901,2080,AMD Ryzen Threadripper 3970X 32-Core,4.0,tensorflow,Microseconds (Average),1891,8
1902,2081,Intel Core i9-10900K,3.0,tensorflow,Microseconds (Average),1901,39
1903,2083,2 x Intel Xeon Gold 6144,73.0,tensorflow,Microseconds (Average),2072,22
1904,2084,2 x Intel Xeon Gold 6342,4.0,tensorflow,Microseconds (Average),2084,3
1905,2085,2 x Intel Xeon Gold 5220R,4.0,tensorflow,Microseconds (Average),2091,6
1906,2086,Intel Core i5-14500,3.0,tensorflow,Microseconds (Average),2165,2165
1907,2087,Intel Core i5-12400,9.0,tensorflow,Microseconds (Average),2171,81
1908,2088,Intel Xeon Silver 4216,4.0,tensorflow,Microseconds (Average),2216,18
1909,2089,Intel Core i9-9900K,3.0,tensorflow,Microseconds (Average),2339,38
1910,2090,AMD Ryzen 7 5700G,6.0,tensorflow,Microseconds (Average),2345,7
1911,2091,AMD Ryzen 9 5900HX,12.0,tensorflow,Microseconds (Average),2396,38
1912,2092,AMD Ryzen 9 3900X 12-Core,7.0,tensorflow,Microseconds (Average),2455,18
1913,2093,AMD Ryzen 9 3950X 16-Core,6.0,tensorflow,Microseconds (Average),2480,40
1914,2094,AMD Ryzen 5 5600X 6-Core,4.0,tensorflow,Microseconds (Average),2482,108
1915,2095,Intel Core i5-11600K,3.0,tensorflow,Microseconds (Average),2542,10
1916,2096,Intel Core i5-10600K,4.0,tensorflow,Microseconds (Average),2655,12
1917,2097,2 x Intel Xeon Platinum 8362,4.0,tensorflow,Microseconds (Average),2667,50
1918,2098,Intel Core i7-5960X,3.0,tensorflow,Microseconds (Average),2692,53
1919,2099,AMD Ryzen 5 5600G,6.0,tensorflow,Microseconds (Average),2759,23
1920,2100,Intel Core i3-14100,3.0,tensorflow,Microseconds (Average),2766,2766
1921,2101,Intel Core i7-8700K,3.0,tensorflow,Microseconds (Average),2788,12
1922,2102,AMD Ryzen 7 3800X 8-Core,22.0,tensorflow,Microseconds (Average),2814,136
1923,2104,AMD Ryzen 7 3800XT 8-Core,5.0,tensorflow,Microseconds (Average),2972,278
1924,2105,AMD Ryzen 7 3700X 8-Core,5.0,tensorflow,Microseconds (Average),3033,59
1925,2106,AMD EPYC 7F32 8-Core,4.0,tensorflow,Microseconds (Average),3156,77
1926,2107,AMD Ryzen 7 PRO 5850U,7.0,tensorflow,Microseconds (Average),3246,65
1927,2108,2 x Intel Xeon Platinum 8280,3.0,tensorflow,Microseconds (Average),3392,17
1928,2109,2 x Intel Xeon Platinum 8380,15.0,tensorflow,Microseconds (Average),3428,303
1929,2110,Intel Core Ultra 7 155H,6.0,tensorflow,Microseconds (Average),3445,258
1930,2111,AMD Ryzen 7 PRO 6850U,16.0,tensorflow,Microseconds (Average),3526,522
1931,2112,AMD Ryzen Threadripper 2970WX 24-Core,4.0,tensorflow,Microseconds (Average),3666,37
1932,2113,AMD Ryzen Threadripper PRO 7995WX 96-Cores,5.0,tensorflow,Microseconds (Average),3778,138
1933,2114,Intel Core i7-1185G7E,65.0,tensorflow,Microseconds (Average),3939,15
1934,2115,AMD Ryzen 3 3300X 4-Core,4.0,tensorflow,Microseconds (Average),3953,15
1935,2117,Intel Core i7-1185G7,11.0,tensorflow,Microseconds (Average),3999,166
1936,2118,Intel Core i7-1280P,8.0,tensorflow,Microseconds (Average),4017,257
1937,2119,Intel Core i7-1165G7,3.0,tensorflow,Microseconds (Average),4091,50
1938,2120,Intel Core i7-10700T,3.0,tensorflow,Microseconds (Average),4110,99
1939,2121,AMD Ryzen Threadripper 3990X 64-Core,5.0,tensorflow,Microseconds (Average),4228,64
1940,2122,Intel Xeon E3-1275 v6,3.0,tensorflow,Microseconds (Average),4257,8
1941,2124,Intel Core i3-12100,8.0,tensorflow,Microseconds (Average),4470,366
1942,2125,AMD Ryzen 5 5500U,9.0,tensorflow,Microseconds (Average),4541,219
1943,2126,Intel Core i3-10100,5.0,tensorflow,Microseconds (Average),4547,675
1944,2127,Intel Xeon E3-1245 v5,3.0,tensorflow,Microseconds (Average),4660,5
1945,2128,AMD Ryzen 7 4800U,3.0,tensorflow,Microseconds (Average),4909,23
1946,2130,AMD EPYC 7551 32-Core,4.0,tensorflow,Microseconds (Average),4965,398
1947,2131,Intel Xeon E3-1260L v5,4.0,tensorflow,Microseconds (Average),5387,53
1948,2132,2 x AMD EPYC 75F3 32-Core,3.0,tensorflow,Microseconds (Average),5606,173
1949,2133,Intel Core i3-8100,5.0,tensorflow,Microseconds (Average),5955,4
1950,2134,Intel Xeon E3-1231 v3,3.0,tensorflow,Microseconds (Average),6049,99
1951,2135,Intel Core i7-1065G7,7.0,tensorflow,Microseconds (Average),6147,270
1952,2136,Intel Core i7-8565U,5.0,tensorflow,Microseconds (Average),6857,528
1953,2137,AMD Ryzen 5 3400G,3.0,tensorflow,Microseconds (Average),6917,5
1954,2138,AMD Ryzen 5 4500U,6.0,tensorflow,Microseconds (Average),6974,145
1955,2139,Intel Xeon E5-2609 v4,4.0,tensorflow,Microseconds (Average),7159,10
1956,2140,Intel Core i3-8100T,13.0,tensorflow,Microseconds (Average),7316,37
1957,2141,Intel Core i3-7100,4.0,tensorflow,Microseconds (Average),8069,17
1958,2142,2 x AMD EPYC 7601 32-Core,4.0,tensorflow,Microseconds (Average),8393,520
1959,2143,Intel Core i3-1005G1,4.0,tensorflow,Microseconds (Average),9975,7
1960,2144,2 x AMD EPYC 7773X 64-Core,8.0,tensorflow,Microseconds (Average),10045,535
1961,2145,AMD Ryzen 3 3200U,3.0,tensorflow,Microseconds (Average),23400,1608
1962,2146,Intel Core i3-3110M,3.0,tensorflow,Microseconds (Average),27422,55
1963,2147,Intel Core i7-7700,3.0,tensorflow,Microseconds (Average),55387,2995
